Entity,Code,Year,"Military expenditure per capita, current USD (OWID based on COW and SIPRI)"
Afghanistan,AFG,1931,0.63
Afghanistan,AFG,1932,0.51
Afghanistan,AFG,1935,0.95
Afghanistan,AFG,1936,0.97
Afghanistan,AFG,1938,0.87
Afghanistan,AFG,1950,0.52
Afghanistan,AFG,1951,0.62
Afghanistan,AFG,1952,0.73
Afghanistan,AFG,1953,1.02
Afghanistan,AFG,1954,0.52
Afghanistan,AFG,1955,0.67
Afghanistan,AFG,1956,0.49
Afghanistan,AFG,1957,0.71
Afghanistan,AFG,1958,0.61
Afghanistan,AFG,1959,1.05
Afghanistan,AFG,1960,1.32
Afghanistan,AFG,1961,1.29
Afghanistan,AFG,1962,1.17
Afghanistan,AFG,1963,1.28
Afghanistan,AFG,1964,1.23
Afghanistan,AFG,1965,1.15
Afghanistan,AFG,1966,1.36
Afghanistan,AFG,1967,1.42
Afghanistan,AFG,1968,1.55
Afghanistan,AFG,1969,1.57
Afghanistan,AFG,1970,1.43
Afghanistan,AFG,1971,2.13
Afghanistan,AFG,1972,2.25
Afghanistan,AFG,1973,2.2
Afghanistan,AFG,1974,2.3
Afghanistan,AFG,1975,2.64
Afghanistan,AFG,1976,2.71
Afghanistan,AFG,1977,3.29
Afghanistan,AFG,1978,3.7
Afghanistan,AFG,1979,3.6
Afghanistan,AFG,1980,14.82
Afghanistan,AFG,1981,20.55
Afghanistan,AFG,1982,21.02
Afghanistan,AFG,1983,19.57
Afghanistan,AFG,1984,14.18
Afghanistan,AFG,1985,19.74
Afghanistan,AFG,1990,29.14
Afghanistan,AFG,1995,10.17
Afghanistan,AFG,1996,9.96
Afghanistan,AFG,1997,9.44
Afghanistan,AFG,1998,11.94
Afghanistan,AFG,1999,11.4
Afghanistan,AFG,2000,11
Afghanistan,AFG,2001,11.1
Afghanistan,AFG,2005,4.67
Afghanistan,AFG,2006,4.68
Afghanistan,AFG,2007,5.81
Afghanistan,AFG,2008,6.66
Afghanistan,AFG,2009,9.09
Afghanistan,AFG,2010,9.75
Afghanistan,AFG,2011,62.6
Afghanistan,AFG,2012,69.64
Albania,ALB,1914,2.3
Albania,ALB,1915,2.19
Albania,ALB,1916,2.14
Albania,ALB,1917,2.06
Albania,ALB,1918,2
Albania,ALB,1919,1.95
Albania,ALB,1920,1.88
Albania,ALB,1921,1.78
Albania,ALB,1922,1.72
Albania,ALB,1923,1.45
Albania,ALB,1924,1.3
Albania,ALB,1925,1.2
Albania,ALB,1926,1.12
Albania,ALB,1927,1.3
Albania,ALB,1928,2.61
Albania,ALB,1929,3.12
Albania,ALB,1930,3.03
Albania,ALB,1931,3.16
Albania,ALB,1932,2.95
Albania,ALB,1933,2.53
Albania,ALB,1934,2.36
Albania,ALB,1935,2.19
Albania,ALB,1936,2.45
Albania,ALB,1937,2.73
Albania,ALB,1938,3.02
Albania,ALB,1939,6.53
Albania,ALB,1944,8.23
Albania,ALB,1945,9.14
Albania,ALB,1946,10.5
Albania,ALB,1947,10.8
Albania,ALB,1948,11.92
Albania,ALB,1949,13.32
Albania,ALB,1950,15.53
Albania,ALB,1951,16.11
Albania,ALB,1952,16.11
Albania,ALB,1953,17.5
Albania,ALB,1954,21.12
Albania,ALB,1955,22.87
Albania,ALB,1956,24.13
Albania,ALB,1957,25.68
Albania,ALB,1958,26.56
Albania,ALB,1959,27.01
Albania,ALB,1960,32.56
Albania,ALB,1961,35.68
Albania,ALB,1962,36.02
Albania,ALB,1963,40.83
Albania,ALB,1964,45.44
Albania,ALB,1965,44.41
Albania,ALB,1966,47.72
Albania,ALB,1967,46.7
Albania,ALB,1968,47.95
Albania,ALB,1969,45.59
Albania,ALB,1970,45.9
Albania,ALB,1971,52.87
Albania,ALB,1972,52.28
Albania,ALB,1973,54.42
Albania,ALB,1974,53.34
Albania,ALB,1975,54.93
Albania,ALB,1976,55.27
Albania,ALB,1977,54.99
Albania,ALB,1978,60.23
Albania,ALB,1979,64.09
Albania,ALB,1980,64.21
Albania,ALB,1981,69.13
Albania,ALB,1982,56.39
Albania,ALB,1983,46
Albania,ALB,1984,44.87
Albania,ALB,1985,63.88
Albania,ALB,1986,55.97
Albania,ALB,1987,63.84
Albania,ALB,1988,50.03
Albania,ALB,1989,52.3
Albania,ALB,1990,52.58
Albania,ALB,1991,31.7
Albania,ALB,1992,10.32
Albania,ALB,1993,30.13
Albania,ALB,1994,27.49
Albania,ALB,1995,24.66
Albania,ALB,1996,28.22
Albania,ALB,1997,25.19
Albania,ALB,1998,32.7
Albania,ALB,1999,44.97
Albania,ALB,2000,36.3
Albania,ALB,2001,34.48
Albania,ALB,2002,18.08
Albania,ALB,2003,23.46
Albania,ALB,2004,32.65
Albania,ALB,2005,36.3
Albania,ALB,2006,44.34
Albania,ALB,2007,62.54
Albania,ALB,2008,80.46
Albania,ALB,2009,78.71
Albania,ALB,2010,40
Albania,ALB,2011,61.83
Albania,ALB,2012,58.51
Algeria,DZA,1962,5.95
Algeria,DZA,1963,7.09
Algeria,DZA,1964,8.5
Algeria,DZA,1965,8.32
Algeria,DZA,1966,7.84
Algeria,DZA,1967,7.59
Algeria,DZA,1968,7.35
Algeria,DZA,1969,7.13
Algeria,DZA,1970,7.22
Algeria,DZA,1971,7.02
Algeria,DZA,1972,7.63
Algeria,DZA,1973,9.14
Algeria,DZA,1974,16.75
Algeria,DZA,1975,19.31
Algeria,DZA,1976,23.35
Algeria,DZA,1977,27.24
Algeria,DZA,1978,34.13
Algeria,DZA,1979,40.18
Algeria,DZA,1980,47.68
Algeria,DZA,1981,42.17
Algeria,DZA,1982,42.71
Algeria,DZA,1983,45.58
Algeria,DZA,1984,43.77
Algeria,DZA,1985,43.63
Algeria,DZA,1986,51.51
Algeria,DZA,1987,52.13
Algeria,DZA,1988,44.27
Algeria,DZA,1989,35.11
Algeria,DZA,1990,36.13
Algeria,DZA,1991,25.74
Algeria,DZA,1992,72.32
Algeria,DZA,1993,41.61
Algeria,DZA,1994,47.5
Algeria,DZA,1995,50.86
Algeria,DZA,1996,64.41
Algeria,DZA,1997,72.77
Algeria,DZA,1998,103.89
Algeria,DZA,1999,100.28
Algeria,DZA,2000,94.98
Algeria,DZA,2001,102
Algeria,DZA,2002,64.41
Algeria,DZA,2003,66.84
Algeria,DZA,2004,83.83
Algeria,DZA,2005,84.71
Algeria,DZA,2006,89.72
Algeria,DZA,2007,121.66
Algeria,DZA,2008,144.97
Algeria,DZA,2009,145.15
Algeria,DZA,2010,150.85
Algeria,DZA,2011,229.38
Algeria,DZA,2012,242.3
Andorra,AND,1993,0
Andorra,AND,1994,0
Andorra,AND,1995,0
Andorra,AND,1996,0
Andorra,AND,1997,0
Andorra,AND,1998,0
Andorra,AND,1999,0
Andorra,AND,2000,0
Andorra,AND,2001,0
Andorra,AND,2002,0
Andorra,AND,2003,0
Andorra,AND,2004,0
Andorra,AND,2005,0
Andorra,AND,2006,0
Andorra,AND,2007,0
Andorra,AND,2008,0
Andorra,AND,2009,0
Andorra,AND,2010,0
Andorra,AND,2011,0
Andorra,AND,2012,0
Angola,AGO,1975,23.85
Angola,AGO,1979,77.5
Angola,AGO,1980,97.24
Angola,AGO,1981,95.47
Angola,AGO,1982,105.57
Angola,AGO,1983,74.16
Angola,AGO,1985,122.92
Angola,AGO,1986,132.52
Angola,AGO,1987,96.84
Angola,AGO,1988,94.14
Angola,AGO,1989,276.21
Angola,AGO,1990,272.65
Angola,AGO,1991,56.64
Angola,AGO,1993,108.56
