Entity,Code,Terrain Ruggedness Index 100m (Nunn and Puga 2012)
Afghanistan,AFG,2.518
Albania,ALB,3.427
Algeria,DZA,0.51
American Samoa,ASM,2.647
Andorra,AND,5.717
Angola,AGO,0.858
Anguilla,AIA,0.013
Antigua and Barbuda,ATG,0.006
Argentina,ARG,0.775
Armenia,ARM,2.688
Aruba,ABW,0.462
Australia,AUS,0.143
Austria,AUT,3.513
Azerbaijan,AZE,1.672
Bahamas,BHS,0.055
Bahrain,BHR,0.231
Bangladesh,BGD,0.186
Barbados,BRB,0.963
Belarus,BLR,0.164
Belgium,BEL,0.388
Belize,BLZ,0.607
Benin,BEN,0.141
Bermuda,BMU,0.015
Bhutan,BTN,6.74
Bolivia,BOL,0.853
Bosnia and Herzegovina,BIH,2.311
Botswana,BWA,0.181
Brazil,BRA,0.24
British Indian Ocean Territory,IOT,0.018
British Virgin Islands,VGB,1.257
Brunei,BRN,0.52
Bulgaria,BGR,1.479
Burkina Faso,BFA,0.236
Burundi,BDI,1.78
Cambodia,KHM,0.54
Cameroon,CMR,0.515
Canada,CAN,0.775
Cape Verde,CPV,2.367
Cayman Islands,CYM,0.096
Central African Republic,CAF,0.197
Chad,TCD,0.419
Chile,CHL,2.481
China,CHN,1.878
Christmas Island,CXR,1.321
Cocos Islands,CCK,0.015
Colombia,COL,0.885
Comoros,COM,3.328
Congo,COG,0.152
Cook Islands,COK,0.96
Costa Rica,CRI,2.112
Cote d'Ivoire,CIV,0.224
Croatia,HRV,1.267
Cuba,CUB,0.528
Cyprus,CYP,2.718
Czech Republic,CZE,0.884
Democratic Republic of Congo,COD,0.443
Denmark,DNK,0.189
Djibouti,DJI,2.432
Dominica,DMA,0.003
Dominican Republic,DOM,1.641
Ecuador,ECU,1.278
Egypt,EGY,0.723
El Salvador,SLV,1.75
Equatorial Guinea,GNQ,0.559
Eritrea,ERI,2.481
Estonia,EST,0.123
Ethiopia,ETH,1.57
Faeroe Islands,FRO,2.253
